Hero1, Hero2, Win, Loss, Draw, Games, Win%
,,0,0,0,0,-
,"Dromai, Ash Artist",0,0,0,0,-
,"Azalea, Ace in the Hole",0,0,0,0,-
,"Rhinar, Reckless Rampage",0,0,0,0,-
,"Fai, Rising Rebellion",0,0,0,0,-
,"Bravo, Showstopper",0,0,0,0,-
,"Arakni, Huntsman",0,0,0,0,-
,"Kano, Dracai of Aether",0,0,0,0,-
,Dorinthea Ironsong,0,0,0,0,-
,"Levia, Shadowborn Abomination",0,0,0,0,-
,"Briar, Warden of Thorns",0,1,0,1, 0.00% 
,"Uzuri, Switchblade",0,0,0,0,-
,"Ser Boltyn, Breaker of Dawn",0,0,0,0,-
,"Lexi, Livewire",0,0,0,0,-
,"Riptide, Lurker of the Deep",0,0,0,0,-
,"Iyslander, Stormbind",0,0,0,0,-
,"Dash, Inventor Extraordinaire",0,0,0,0,-
,"Viserai, Rune Blood",0,0,0,0,-
,"Katsu, the Wanderer",0,0,0,0,-
,"Oldhim, Grandfather of Eternity",0,0,0,0,-
,CLEANTOTAL,0,-,-,1,0.00%
,TOTAL,0,-,-,1,0.00%
"Dromai, Ash Artist",,0,0,0,0,-
"Dromai, Ash Artist","Dromai, Ash Artist",45,45,10,100,45.00% 
"Dromai, Ash Artist","Azalea, Ace in the Hole",32,18,0,50,64.00% 
"Dromai, Ash Artist","Rhinar, Reckless Rampage",1,12,0,13, 7.69% 
"Dromai, Ash Artist","Fai, Rising Rebellion",14,11,0,25,56.00% 
"Dromai, Ash Artist","Bravo, Showstopper",8,18,2,28,28.57% 
"Dromai, Ash Artist","Arakni, Huntsman",2,1,0,3,66.67% 
"Dromai, Ash Artist","Kano, Dracai of Aether",13,4,0,17,76.47% 
"Dromai, Ash Artist",Dorinthea Ironsong,5,1,0,6,83.33% 
"Dromai, Ash Artist","Levia, Shadowborn Abomination",0,2,0,2, 0.00% 
"Dromai, Ash Artist","Briar, Warden of Thorns",19,14,0,33,57.58% 
"Dromai, Ash Artist","Uzuri, Switchblade",24,5,3,32,75.00% 
"Dromai, Ash Artist","Ser Boltyn, Breaker of Dawn",4,2,0,6,66.67% 
"Dromai, Ash Artist","Lexi, Livewire",70,75,0,145,48.28% 
"Dromai, Ash Artist","Riptide, Lurker of the Deep",2,0,0,2,100.00%
"Dromai, Ash Artist","Iyslander, Stormbind",5,7,2,14,35.71% 
"Dromai, Ash Artist","Dash, Inventor Extraordinaire",16,9,2,27,59.26% 
"Dromai, Ash Artist","Viserai, Rune Blood",12,27,0,39,30.77% 
"Dromai, Ash Artist","Katsu, the Wanderer",14,17,0,31,45.16% 
"Dromai, Ash Artist","Oldhim, Grandfather of Eternity",16,48,5,69,23.19% 
"Dromai, Ash Artist",CLEANTOTAL,257,-,-,542,47.42%
"Dromai, Ash Artist",TOTAL,302,-,-,642,47.04%
"Azalea, Ace in the Hole",,0,0,0,0,-
"Azalea, Ace in the Hole","Dromai, Ash Artist",18,32,0,50,36.00% 
"Azalea, Ace in the Hole","Azalea, Ace in the Hole",8,8,0,16,50.00% 
